Natural Born Killers (1994);Action|Crime|Thriller;brutality|controversial|dark comedy|psychedelic|satire|stylized
Only You (1994);Comedy|Romance;NoTags
Once Were Warriors (1994);Crime|Drama;In Netflix queue
Poison Ivy II (1996);Drama|Thriller;NoTags
Outbreak (1995);Action|Drama|Sci-Fi|Thriller;NoTags
Léon: The Professional (a.k.a. The Professional) (Léon) (1994);Action|Crime|Drama|Thriller;assassin|Jean Reno|hit men|Action|assassin|assassination|assassins|awkward romance|corruption|crime|disturbing|drama|French|friendship|Gary Oldman|great acting|Guns|hit men|hitman|humorous|imdb top 250|Jean Reno|Lolita theme|loneliness|love story|Luc Besson|Natalie Portman|organized crime|police|police corruption|quirky|sniper|tense|touching|unique
Perez Family, The (1995);Comedy|Romance;NoTags
Pyromaniac's Love Story, A (1995);Comedy|Romance;NoTags
Pulp Fiction (1994);Comedy|Crime|Drama|Thriller;good dialogue|great soundtrack|non-linear|cult film|drugs|Quentin Tarantino|Tarantino|hit men|1990s|achronological|action|action packed|aggressive|amazing|amazing dialogues|anthology|assassin|atmospheric|AWESOME|bad ass|bad language|bad-ass|bible|biblical references|big boys with guns|big name actors|Black comedy|black humor|black humour|blood|blood splatters|bloody|bruce willis|brutality|casual violence|character development|characters|classic|classic movie|coke|comedy|conversation|cool|cool style|crime|crime scene scrubbing|cult|cult classic|cult film|dance|dancing|dark|dark comedy|dark humor|dialogue|different|diner|disjointed timeline|disturbing|drama|drug overdose|drugs|drugs & music|ensemble cast|entertaining|entirely dialogue|episodic|exciting|fast paced|fast-paced|film noir|film-noir|foul language|fun|funny|gangster|gangsters|genius|golden watch|good dialogue|good music|gore|great acting|great dialogue|great soundtrack|gritty|guns|Harvey Keitel|heroin|Highly quotable|hit men|hitman|homosexuality|humour|iconic|imdb top 250|innovative|intellectual|intelligent|intense|interesting|intertwining storylines|interwoven storylines|ironic|irony|John Travolta|killer-as-protagonist|los angeles|Mafia|masterpiece|meaningless violence|milkshake|mobster|mobsters|monologue|motherfucker|multiple stories|multiple storylines|neo-noir|noir|non-linear|non-linear timeline|nonlinear|nonlinear narrative|nonlinear storyline|nonlinear timeline|notable soundtrack|offensive|organised crime|organized crime|original|original plot|out of order|Palme d'Or|parody|philosophical|pop culture references|psychological|pulp|Quentin Tarantino|quirky|Quotable|r:disturbing violent content including rape|r:disturbing violent images|r:graphic sexuality|r:some violence|r:strong bloody violence|r:strong language|r:sustained strong stylized violence|r:violence|random|rape|retro|Roger Avary|royal with cheese|Samuel L. Jackson|sarcasm|satire|sexy|smart writing|sophisticated|soundtrack|splatter|Steve Buscemi|storytelling|stylish|stylized|suspense|Tarantino|thought-provoking|thriller|travolta|twist ending|Uma Thurman|unique|unpredictable|unusual|very funny|violence|violent|witty
Pushing Hands (Tui shou) (1992);Drama;NoTags
Priest (1994);Drama;NoTags
Quiz Show (1994);Drama;TV
Picture Bride (Bijo photo) (1994);Drama|Romance;NoTags
Queen Margot (Reine Margot, La) (1994);Drama|Romance;NoTags
Quick and the Dead, The (1995);Action|Thriller|Western;NoTags
Roommates (1995);Comedy|Drama;NoTags
Ready to Wear (Pret-A-Porter) (1994);Comedy;NoTags
Three Colors: Red (Trois couleurs: Rouge) (1994);Drama;NoTags
Three Colors: Blue (Trois couleurs: Bleu) (1993);Drama;Death
Three Colors: White (Trzy kolory: Bialy) (1994);Comedy|Drama;marriage|cynical
Rent-a-Kid (1995);Comedy;NoTags
Relative Fear (1994);Horror|Thriller;NoTags
Stuart Saves His Family (1995);Comedy;NoTags
Swan Princess, The (1994);Animation|Children;NoTags
Secret of Roan Inish, The (1994);Children|Drama|Fantasy|Mystery;NoTags
Specialist, The (1994);Action|Drama|Thriller;NoTags
Stargate (1994);Action|Adventure|Sci-Fi;time travel
Santa Clause, The (1994);Comedy|Drama|Fantasy;Christmas
Shawshank Redemption, The (1994);Crime|Drama;prison|Stephen King|wrongful imprisonment|Morgan Freeman
Shallow Grave (1994);Comedy|Drama|Thriller;NoTags
Suture (1993);Film-Noir|Thriller;NoTags
Strawberry and Chocolate (Fresa y chocolate) (1993);Drama;NoTags
Swimming with Sharks (1995);Comedy|Drama;NoTags
Sum of Us, The (1994);Comedy|Drama;NoTags
National Lampoon's Senior Trip (1995);Comedy;NoTags
To Live (Huozhe) (1994);Drama;In Netflix queue
Tank Girl (1995);Action|Comedy|Sci-Fi;NoTags
Tales from the Crypt Presents: Demon Knight (1995);Horror|Thriller;NoTags
Star Trek: Generations (1994);Adventure|Drama|Sci-Fi;Enterprise
Tales from the Hood (1995);Action|Crime|Horror;NoTags
Tom & Viv (1994);Drama;NoTags
Village of the Damned (1995);Horror|Sci-Fi;NoTags
Tommy Boy (1995);Comedy;NoTags
Vanya on 42nd Street (1994);Drama;NoTags
Underneath (1995);Mystery|Thriller;NoTags
Walking Dead, The (1995);Drama|War;NoTags
What's Eating Gilbert Grape (1993);Drama;mental illness
Virtuosity (1995);Action|Sci-Fi|Thriller;serial killer
While You Were Sleeping (1995);Comedy|Romance;coma
War, The (1994);Adventure|Drama|War;NoTags
Double Happiness (1994);Drama;NoTags
Muriel's Wedding (1994);Comedy;Australia|weddings
Baby-Sitters Club, The (1995);Children;NoTags
Ace Ventura: Pet Detective (1994);Comedy;NoTags
Adventures of Priscilla, Queen of the Desert, The (1994);Comedy|Drama;cross dressing|men in drag|remade
Backbeat (1993);Drama|Musical;NoTags
Bitter Moon (1992);Drama|Film-Noir|Romance;NoTags
Bullets Over Broadway (1994);Comedy;NoTags
Clear and Present Danger (1994);Action|Crime|Drama|Thriller;Tom Clancy
Client, The (1994);Drama|Mystery|Thriller;John Grisham
Corrina, Corrina (1994);Comedy|Drama|Romance;interracial romance
Crooklyn (1994);Comedy|Drama;NoTags
Crow, The (1994);Action|Crime|Fantasy|Thriller;NoTags
Cobb (1994);Drama;NoTags
Flintstones, The (1994);Children|Comedy|Fantasy;NoTags
Forrest Gump (1994);Comedy|Drama|Romance|War;shrimp|Vietnam|bubba gump shrimp|lieutenant dan|stupid is as stupid does|bittersweet|emotional|heartwarming|touching
Four Weddings and a Funeral (1994);Comedy|Romance;wedding
Higher Learning (1995);Drama;NoTags
I Like It Like That (1994);Comedy|Drama|Romance;NoTags
I Love Trouble (1994);Action|Comedy;NoTags
It Could Happen to You (1994);Comedy|Drama|Romance;gambling
Jungle Book, The (1994);Adventure|Children|Romance;NoTags
Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993);Documentary;Holocaust|In Netflix queue
Lion King, The (1994);Adventure|Animation|Children|Drama|Musical|IMAX;Disney|Disney animated feature|Oscar (Best Music - Original Score)|soundtrack|Disney
Little Buddha (1993);Drama;NoTags
Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994);Drama|Horror|Mystery|Thriller;NoTags
Mask, The (1994);Action|Comedy|Crime|Fantasy;NoTags
Maverick (1994);Adventure|Comedy|Western;NoTags
Mrs. Parker and the Vicious Circle (1994);Drama;NoTags
Naked Gun 33 1/3: The Final Insult (1994);Action|Comedy;NoTags
Paper, The (1994);Comedy|Drama;journalism
Reality Bites (1994);Comedy|Drama|Romance;NoTags
Red Rock West (1992);Thriller;NoTags
Richie Rich (1994);Children|Comedy;NoTags
River Wild, The (1994);Action|Thriller;NoTags
Speed (1994);Action|Romance|Thriller;bus
Speechless (1994);Comedy|Romance;NoTags
Timecop (1994);Action|Sci-Fi|Thriller;NoTags
True Lies (1994);Action|Adventure|Comedy|Romance|Thriller;spies
When a Man Loves a Woman (1994);Drama|Romance;alcoholism
Wolf (1994);Drama|Horror|Romance|Thriller;NoTags
Wyatt Earp (1994);Western;NoTags
Bad Company (1995);Action|Crime|Drama;NoTags
Man of No Importance, A (1994);Drama;NoTags
S.F.W. (1994);Drama;NoTags
Low Down Dirty Shame, A (1994);Action|Comedy;NoTags
Boys Life (1995);Drama;NoTags
Colonel Chabert, Le (1994);Drama|Romance|War;NoTags
Faster Pussycat! Kill! Kill! (1965);Action|Crime|Drama;NoTags
Jason's Lyric (1994);Crime|Drama;NoTags
Street Fighter (1994);Action|Adventure|Fantasy;NoTags
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Action|Fantasy;NoTags
Federal Hill (1994);Drama;NoTags
In the Mouth of Madness (1995);Horror|Thriller;NoTags
8 Seconds (1994);Drama;NoTags
Above the Rim (1994);Crime|Drama;NoTags
Addams Family Values (1993);Children|Comedy|Fantasy;black comedy|Christina Ricci|Christopher Lloyd|dark comedy|family|gothic
Age of Innocence, The (1993);Drama;Edith Wharton
Airheads (1994);Comedy;Comedy
Air Up There, The (1994);Comedy;NoTags
Another Stakeout (1993);Comedy|Thriller;NoTags
Bad Girls (1994);Western;NoTags
Barcelona (1994);Comedy|Romance;NoTags
Being Human (1993);Drama;NoTags
Beverly Hillbillies, The (1993);Comedy;NoTags
Beverly Hills Cop III (1994);Action|Comedy|Crime|Thriller;NoTags
Black Beauty (1994);Adventure|Children|Drama;horses
Blink (1994);Thriller;NoTags
Blown Away (1994);Action|Thriller;NoTags
Blue Chips (1994);Drama;NoTags
Blue Sky (1994);Drama|Romance;mental illness|Oscar (Best Actress)
Body Snatchers (1993);Horror|Sci-Fi|Thriller;NoTags
Boxing Helena (1993);Drama|Mystery|Romance|Thriller;NoTags
Bronx Tale, A (1993);Drama;NoTags
Cabin Boy (1994);Comedy;NoTags
Calendar Girl (1993);Comedy|Drama;NoTags
Carlito's Way (1993);Crime|Drama;Al Pacino|gangster|mafia
City Slickers II: The Legend of Curly's Gold (1994);Adventure|Comedy|Western;NoTags
Clean Slate (1994);Comedy;NoTags
Cliffhanger (1993);Action|Adventure|Thriller;NoTags
Coneheads (1993);Comedy|Sci-Fi;NoTags
Color of Night (1994);Drama|Thriller;NoTags
Cops and Robbersons (1994);Comedy;NoTags
Cowboy Way, The (1994);Action|Comedy|Drama;NoTags
Dave (1993);Comedy|Romance;President
Dazed and Confused (1993);Comedy;NoTags
Demolition Man (1993);Action|Adventure|Sci-Fi;NoTags
Even Cowgirls Get the Blues (1993);Comedy|Romance;NoTags
Fatal Instinct (1993);Comedy;NoTags
Farewell My Concubine (Ba wang bie ji) (1993);Drama|Romance;NoTags
Fearless (1993);Drama;NoTags
Fear of a Black Hat (1994);Comedy;NoTags
With Honors (1994);Comedy|Drama;NoTags
Flesh and Bone (1993);Drama|Mystery|Romance;NoTags
Widows' Peak (1994);Drama;NoTags
For Love or Money (1993);Comedy|Romance;NoTags
Firm, The (1993);Drama|Thriller;John Grisham
Free Willy (1993);Adventure|Children|Drama;NoTags
Fresh (1994);Crime|Drama|Thriller;NoTags
Fugitive, The (1993);Thriller;based on a TV show
Geronimo: An American Legend (1993);Drama|Western;NoTags
Getaway, The (1994);Action|Adventure|Crime|Drama|Romance|Thriller;NoTags
Getting Even with Dad (1994);Comedy;NoTags
Go Fish (1994);Drama|Romance;NoTags
Hard Target (1993);Action|Adventure|Crime|Thriller;NoTags
Hot Shots! Part Deux (1993);Action|Comedy|War;NoTags
Live Nude Girls (1995);Comedy;NoTags
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995);Comedy|Romance;NoTags
House of the Spirits, The (1993);Drama|Romance;NoTags
House Party 3 (1994);Comedy;NoTags
Hudsucker Proxy, The (1994);Comedy;hula hoop
I'll Do Anything (1994);Comedy|Drama;NoTags
In the Army Now (1994);Comedy|War;NoTags
In the Line of Fire (1993);Action|Thriller;assassination
In the Name of the Father (1993);Drama;Ireland
Inkwell, The (1994);Comedy|Drama;NoTags
What's Love Got to Do with It? (1993);Drama|Musical;biopic
Jimmy Hollywood (1994);Comedy|Crime|Drama;NoTags
Judgment Night (1993);Action|Crime|Thriller;NoTags
Jurassic Park (1993);Action|Adventure|Sci-Fi|Thriller;Dinosaur
Kalifornia (1993);Drama|Thriller;NoTags
Killing Zoe (1994);Crime|Drama|Thriller;NoTags
Lassie (1994);Adventure|Children;NoTags
Last Action Hero (1993);Action|Adventure|Comedy|Fantasy;NoTags
Life with Mikey (1993);Comedy;NoTags
Lightning Jack (1994);Comedy|Western;NoTags
M. Butterfly (1993);Drama|Romance;Japan|sexuality
Made in America (1993);Comedy;NoTags
Malice (1993);Thriller;NoTags
Man Without a Face, The (1993);Drama;NoTags
Manhattan Murder Mystery (1993);Comedy|Mystery;NoTags
Menace II Society (1993);Action|Crime|Drama;NoTags
Executive Decision (1996);Action|Adventure|Thriller;NoTags
In the Realm of the Senses (Ai no corrida) (1976);Drama;NoTags
What Happened Was... (1994);Comedy|Drama|Romance|Thriller;NoTags
Much Ado About Nothing (1993);Comedy|Romance;Shakespeare
Mr. Wonderful (1993);Comedy|Romance;NoTags
Mrs. Doubtfire (1993);Comedy|Drama;cross dressing|divorce|men in drag
Naked (1993);Drama;NoTags
Next Karate Kid, The (1994);Action|Children|Romance;NoTags
No Escape (1994);Action|Drama|Sci-Fi;NoTags
North (1994);Comedy;NoTags
Orlando (1992);Drama|Fantasy|Romance;NoTags
Perfect World, A (1993);Crime|Drama|Thriller;NoTags
Philadelphia (1993);Drama;AIDs
Piano, The (1993);Drama|Romance;NoTags
Poetic Justice (1993);Drama;NoTags
Program, The (1993);Action|Drama;NoTags
Puppet Masters, The (1994);Horror|Sci-Fi;NoTags
Radioland Murders (1994);Comedy|Mystery|Romance;radio|show business
Ref, The (1994);Comedy;NoTags
Remains of the Day, The (1993);Drama|Romance;Butler|Housekeeper
Renaissance Man (1994);Comedy|Drama;military
